STATE_CODE,SHRP_ID,CONSTRUCTION_NO,YEAR_VISITED,VISIT_DATE,MRI,PRECIPITATION,TEMP_MEAN_AVG,FREEZE_INDEX,FREEZE_THAW,REL_HUM_AVG_AVG,AADTT,AGE,H_AC,Eng_Fab,Treated_Base,Treated_Subbase,H_TOT,Days_since_last_MRI
1,0104,1,2004,2004-04-27,0.6559000015258789,1378.56,18.100000381469727,2.0,39.0,75,10368,14,160.1,False,True,False,470.0,454.0
1,0104,1,2005,2005-05-04,0.6840999960899352,1847.56,17.799999237060547,2.0,38.0,77,11410,15,160.1,False,True,False,470.0,372.0
1,0105,1,1996,1996-01-10,0.6142999947071075,1201.48,17.200000762939453,27.0,54.0,76,3057,6,104.1,False,True,False,309.79999999999995,0.0
1,0105,1,1997,1997-07-03,0.6428000092506408,1475.31,17.399999618530273,5.0,31.0,78,3879,7,104.1,False,True,False,309.79999999999995,540.0
1,0105,1,1998,1998-01-27,0.6342000007629395,1396.67,18.799999237060547,0.0,23.0,76,4726,8,104.1,False,True,False,309.79999999999995,208.0
1,0105,1,1999,1999-09-28,0.647900003194809,1145.22,18.5,6.0,35.0,71,5598,9,104.1,False,True,False,309.79999999999995,609.0
1,0105,1,2001,2001-03-14,0.6370000064373016,1167.22,17.899999618530273,3.0,33.0,74,7422,11,104.1,False,True,False,309.79999999999995,533.0
1,0105,1,2002,2002-03-10,0.6196000039577484,1117.79,18.39999961853028,3.0,46.0,74,8375,12,104.1,False,True,False,309.79999999999995,361.0
1,0105,1,2003,2003-01-29,0.6546999990940094,1593.82,17.5,6.0,50.0,79,9357,13,104.1,False,True,False,309.79999999999995,325.0
1,0105,1,2004,2004-04-27,0.6837000131607056,1378.56,18.100000381469727,2.0,39.0,75,10368,14,104.1,False,True,False,309.79999999999995,454.0
1,0105,1,2005,2005-05-04,0.6940000057220459,1847.56,17.799999237060547,2.0,38.0,77,11410,15,104.1,False,True,False,309.79999999999995,372.0
1,0106,1,1994,1994-08-25,0.7470000028610229,1845.33,17.200000762939453,10.0,34.0,81,1484,4,175.29999999999998,False,True,False,591.9,0.0
1,0106,1,1996,1996-01-10,0.5817999958992004,1201.48,17.200000762939453,27.0,54.0,76,3057,6,175.29999999999998,False,True,False,591.9,503.0
1,0106,1,1997,1997-07-03,0.6130999982357026,1475.31,17.399999618530273,5.0,31.0,78,3879,7,175.29999999999998,False,True,False,591.9,540.0
1,0106,1,1998,1998-01-27,0.6544999957084656,1396.67,18.799999237060547,0.0,23.0,76,4726,8,175.29999999999998,False,True,False,591.9,208.0
1,0106,1,1999,1999-09-28,0.6949999988079071,1145.22,18.5,6.0,35.0,71,5598,9,175.29999999999998,False,True,False,591.9,609.0
1,0106,1,2001,2001-03-14,0.6889999985694886,1167.22,17.899999618530273,3.0,33.0,74,7422,11,175.29999999999998,False,True,False,591.9,533.0
1,0106,1,2002,2002-03-10,0.6597999930381775,1117.79,18.39999961853028,3.0,46.0,74,8375,12,175.29999999999998,False,True,False,591.9,361.0
1,0106,1,2003,2003-01-29,0.7324999928474427,1593.82,17.5,6.0,50.0,79,9357,13,175.29999999999998,False,True,False,591.9,325.0
1,0106,1,2004,2004-04-27,0.7429999947547912,1378.56,18.100000381469727,2.0,39.0,75,10368,14,175.29999999999998,False,True,False,591.9,454.0
1,0106,1,2005,2005-05-04,0.7639999985694885,1847.56,17.799999237060547,2.0,38.0,77,11410,15,175.29999999999998,False,True,False,591.9,372.0
1,0107,1,1994,1994-08-24,0.811900007724762,1845.33,17.200000762939453,10.0,34.0,81,1484,4,116.9,False,True,False,320.1,0.0
1,0107,1,1996,1996-01-10,0.6560999929904938,1201.48,17.200000762939453,27.0,54.0,76,3057,6,116.9,False,True,False,320.1,504.0
1,0107,1,1997,1997-07-03,0.627400004863739,1475.31,17.399999618530273,5.0,31.0,78,3879,7,116.9,False,True,False,320.1,540.0
1,0107,1,1998,1998-01-27,0.6661000072956085,1396.67,18.799999237060547,0.0,23.0,76,4726,8,116.9,False,True,False,320.1,208.0
1,0107,1,1999,1999-09-28,0.7568000078201294,1145.22,18.5,6.0,35.0,71,5598,9,116.9,False,True,False,320.1,609.0
1,0107,2,2001,2001-03-14,0.9627000153064728,1167.22,17.899999618530273,3.0,33.0,74,7422,11,116.9,False,True,False,320.1,533.0
1,0108,1,1994,1994-08-24,0.875,1845.33,17.200000762939453,10.0,34.0,81,1484,4,182.8,False,True,False,492.7,0.0
1,0108,1,1996,1996-01-10,0.7599999964237213,1201.48,17.200000762939453,27.0,54.0,76,3057,6,182.8,False,True,False,492.7,504.0
1,0108,1,1997,1997-07-03,0.7427999973297119,1475.31,17.399999618530273,5.0,31.0,78,3879,7,182.8,False,True,False,492.7,540.0
1,0108,1,1998,1998-03-11,0.7653500020503998,1396.67,18.799999237060547,0.0,23.0,76,4726,8,182.8,False,True,False,492.7,251.0
1,0108,1,1999,1999-09-28,0.7313000082969665,1145.22,18.5,6.0,35.0,71,5598,9,182.8,False,True,False,492.7,566.0
1,0108,1,2001,2001-03-14,0.7432000100612641,1167.22,17.899999618530273,3.0,33.0,74,7422,11,182.8,False,True,False,492.7,533.0
1,0108,1,2002,2002-03-10,0.7502000033855438,1117.79,18.39999961853028,3.0,46.0,74,8375,12,182.8,False,True,False,492.7,361.0
1,0108,1,2003,2003-01-29,0.731199997663498,1593.82,17.5,6.0,50.0,79,9357,13,182.8,False,True,False,492.7,325.0
1,0108,1,2004,2004-04-27,0.7627000033855438,1378.56,18.100000381469727,2.0,39.0,75,10368,14,182.8,False,True,False,492.7,454.0
1,0108,1,2005,2005-05-04,0.7932000041007996,1847.56,17.799999237060547,2.0,38.0,77,11410,15,182.8,False,True,False,492.7,372.0
1,0109,1,1996,1996-01-10,0.7311999917030334,1201.48,17.200000762939453,27.0,54.0,76,3057,6,180.4,False,True,False,594.4,0.0
1,0109,1,1997,1997-07-03,0.7091000080108643,1475.31,17.399999618530273,5.0,31.0,78,3879,7,180.4,False,True,False,594.4,540.0
1,0109,1,1998,1998-01-27,0.6793000102043152,1396.67,18.799999237060547,0.0,23.0,76,4726,8,180.4,False,True,False,594.4,208.0
1,0109,1,1999,1999-09-28,0.7440000057220459,1145.22,18.5,6.0,35.0,71,5598,9,180.4,False,True,False,594.4,609.0
1,0109,1,2001,2001-03-14,0.7499999940395354,1167.22,17.899999618530273,3.0,33.0,74,7422,11,180.4,False,True,False,594.4,533.0
1,0109,1,2002,2002-03-10,0.7542000055313111,1117.79,18.39999961853028,3.0,46.0,74,8375,12,180.4,False,True,False,594.4,361.0
1,0109,1,2003,2003-01-29,0.7209000051021577,1593.82,17.5,6.0,50.0,79,9357,13,180.4,False,True,False,594.4,325.0
1,0109,1,2004,2004-04-27,0.7587000012397767,1378.56,18.100000381469727,2.0,39.0,75,10368,14,180.4,False,True,False,594.4,454.0
1,0109,1,2005,2005-05-04,0.7748999953269958,1847.56,17.799999237060547,2.0,38.0,77,11410,15,180.4,False,True,False,594.4,372.0
1,0110,1,1996,1996-01-10,0.6866000056266784,1201.48,17.200000762939453,27.0,54.0,76,3057,6,188.0,True,True,False,386.1,0.0
1,0110,1,1997,1997-07-03,0.680100005865097,1475.31,17.399999618530273,5.0,31.0,78,3879,7,188.0,True,True,False,386.1,540.0
1,0110,1,1998,1998-03-11,0.7588499993085862,1396.67,18.799999237060547,0.0,23.0,76,4726,8,188.0,True,True,False,386.1,251.0
1,0110,1,1999,1999-09-28,0.6867000043392182,1145.22,18.5,6.0,35.0,71,5598,9,188.0,True,True,False,386.1,566.0
1,0110,1,2001,2001-03-14,0.6891999959945678,1167.22,17.899999618530273,3.0,33.0,74,7422,11,188.0,True,True,False,386.1,533.0
1,0110,1,2002,2002-03-10,0.682399994134903,1117.79,18.39999961853028,3.0,46.0,74,8375,12,188.0,True,True,False,386.1,361.0
1,0110,1,2003,2003-01-29,0.6719000101089478,1593.82,17.5,6.0,50.0,79,9357,13,188.0,True,True,False,386.1,325.0
1,0110,1,2004,2004-04-27,0.6932999908924102,1378.56,18.100000381469727,2.0,39.0,75,10368,14,188.0,True,True,False,386.1,454.0
1,0110,1,2005,2005-05-04,0.7395000040531159,1847.56,17.799999237060547,2.0,38.0,77,11410,15,188.0,True,True,False,386.1,372.0
1,0111,1,1996,1996-01-10,0.5679000079631806,1201.48,17.200000762939453,27.0,54.0,76,3057,6,91.4,True,True,False,393.6,0.0
1,0111,1,1997,1997-07-03,0.5655999958515168,1475.31,17.399999618530273,5.0,31.0,78,3879,7,91.4,True,True,False,393.6,540.0
1,0111,1,1998,1998-01-27,0.5695999979972839,1396.67,18.799999237060547,0.0,23.0,76,4726,8,91.4,True,True,False,393.6,208.0
1,0111,1,1999,1999-09-28,0.586300003528595,1145.22,18.5,6.0,35.0,71,5598,9,91.4,True,True,False,393.6,609.0
1,0111,1,2001,2001-03-14,0.5947999954223633,1167.22,17.899999618530273,3.0,33.0,74,7422,11,91.4,True,True,False,393.6,533.0
1,0111,1,2002,2002-03-10,0.5846000015735626,1117.79,18.39999961853028,3.0,46.0,74,8375,12,91.4,True,True,False,393.6,361.0
1,0111,1,2003,2003-01-29,0.5981000006198883,1593.82,17.5,6.0,50.0,79,9357,13,91.4,True,True,False,393.6,325.0
1,0111,1,2005,2005-05-04,0.6287999987602234,1847.56,17.799999237060547,2.0,38.0,77,11410,15,91.4,True,True,False,393.6,826.0
1,0112,1,1994,1994-08-25,0.8053000152111054,1845.33,17.200000762939453,10.0,34.0,81,1484,4,83.8,True,True,False,487.7,0.0
1,0112,1,1996,1996-01-10,0.6716000020503998,1201.48,17.200000762939453,27.0,54.0,76,3057,6,83.8,True,True,False,487.7,503.0
1,0112,1,1997,1997-07-03,0.6745000064373017,1475.31,17.399999618530273,5.0,31.0,78,3879,7,83.8,True,True,False,487.7,540.0
1,0112,1,1998,1998-01-27,0.7248999893665313,1396.67,18.799999237060547,0.0,23.0,76,4726,8,83.8,True,True,False,487.7,208.0
1,0112,1,1999,1999-09-28,0.6933000028133391,1145.22,18.5,6.0,35.0,71,5598,9,83.8,True,True,False,487.7,609.0
1,0112,1,2001,2001-03-14,0.729700005054474,1167.22,17.899999618530273,3.0,33.0,74,7422,11,83.8,True,True,False,487.7,533.0
1,0112,1,2002,2002-03-10,0.7014000058174132,1117.79,18.39999961853028,3.0,46.0,74,8375,12,83.8,True,True,False,487.7,361.0
1,0112,1,2003,2003-01-29,0.7287000000476838,1593.82,17.5,6.0,50.0,79,9357,13,83.8,True,True,False,487.7,325.0
1,0112,1,2004,2004-04-27,0.7359000027179718,1378.56,18.100000381469727,2.0,39.0,75,10368,14,83.8,True,True,False,487.7,454.0
1,0112,1,2005,2005-05-04,0.7648000001907349,1847.56,17.799999237060547,2.0,38.0,77,11410,15,83.8,True,True,False,487.7,372.0
1,0161,1,1996,1996-01-10,0.6617999970912933,1201.48,17.200000762939453,27.0,54.0,76,3057,6,104.2,False,True,False,401.4,0.0
1,0161,1,1997,1997-07-03,0.6646000027656556,1475.31,17.399999618530273,5.0,31.0,78,3879,7,104.2,False,True,False,401.4,540.0
1,0161,1,1998,1998-01-27,0.7620999932289123,1396.67,18.799999237060547,0.0,23.0,76,4726,8,104.2,False,True,False,401.4,208.0
1,0161,1,1999,1999-09-28,0.7198000013828277,1145.22,18.5,6.0,35.0,71,5598,9,104.2,False,True,False,401.4,609.0
1,0161,1,2001,2001-03-14,0.7140999972820282,1167.22,17.899999618530273,3.0,33.0,74,7422,11,104.2,False,True,False,401.4,533.0
