STATE_CODE,SHRP_ID,YEAR,AGE,H_AC,Eng_Fab,Treated_Base,Treated_Subbase,H_TOT,MRI_BEFORE,MRI_AFTER,MAINTENANCE,DAYS_SINCE_MAINTENANCE,Added_Thickness,AADTT
4,0117,2000,8,188.0,False,True,False,396.3,0.6360000014305114,0.6978000044822692,Crack Sealing,189,0.0,5825
4,0117,2002,10,188.0,False,True,False,396.3,0.7202000021934509,0.9564999878406524,Crack Sealing,334,0.0,8716
4,0118,2000,8,99.1,False,True,False,398.8,0.8737000107765197,1.05139998793602,Crack Sealing,186,0.0,5825
4,0118,2002,10,99.1,False,True,False,398.8,1.0901000201702118,0.9117999970912932,Slurry Seal Coat,305,12.7,8716
4,0119,2002,10,160.0,False,True,False,381.0,1.0558999955654145,0.9714999914169312,Crack Sealing,333,0.0,8716
4,0120,2002,10,101.6,False,True,False,403.8,1.066299992799759,1.0138999938964846,Slurry Seal Coat,305,12.7,8716
4,0121,2002,10,104.1,False,True,False,510.5,0.8416999995708465,0.8656999886035919,Slurry Seal Coat,305,12.7,8716
4,0122,2000,8,106.7,False,True,False,464.8,1.0356000006198882,1.003699994087219,"Patch Pot Holes - Hand Spread, Compacted with Truck",266,0.0,5825
4,0122,2002,10,106.7,False,True,False,464.8,1.036800003051758,1.037099999189377,Slurry Seal Coat,305,12.7,8716
4,0123,2000,8,172.7,False,True,False,469.9,0.7595999896526336,0.8492999970912933,Crack Sealing,189,0.0,5825
4,0123,2002,10,172.7,False,True,False,469.9,0.7638000130653382,0.7448000013828278,Crack Sealing,334,0.0,8716
4,0124,2000,8,170.2,False,True,False,571.5,0.6060000002384186,0.6936000019311905,Crack Sealing,189,0.0,5825
4,0161,2000,8,144.8,False,False,False,241.3,1.2128999948501586,1.221399998664856,"Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing)",91,0.0,5825
4,0161,2002,10,144.8,False,False,False,241.3,1.4139999985694884,1.1421999871730804,Slurry Seal Coat,305,12.7,8716
4,0162,2002,10,215.9,False,False,False,215.9,1.2542999982833862,1.114500004053116,Slurry Seal Coat,305,12.7,8716
4,0502,1990,23,129.6,False,False,False,503.0,2.0117000222206114,1.3620999991893767,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,154,33.0,8047
4,0502,1997,30,162.6,False,False,False,536.0,1.8089499950408936,2.003300023078918,Fog Seal Coat,197,2.5,12367
4,0502,2000,33,165.1,False,False,False,538.5,2.426699995994568,2.661800003051758,Fog Seal Coat,84,2.5,14884
4,0502,2001,34,167.6,False,False,False,541.0,2.661800003051758,2.7623000383377074,Crack Sealing,187,0.0,15561
4,0503,1990,23,127.0,False,False,False,548.6,1.6876999974250793,0.9457000017166136,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,154,99.1,8047
4,0503,1997,30,226.1,False,False,False,647.7,1.0562999993562698,1.0771000146865846,Fog Seal Coat,197,2.5,12367
4,0503,2001,34,228.6,False,False,False,650.2,1.4640999913215635,1.4274999976158145,Crack Sealing,187,0.0,15561
4,0504,1990,23,127.0,False,False,False,574.0,1.552899992465973,1.1960000038146972,Mill Off AC and Overlay with AC ,154,104.1,8047
4,0504,1997,30,231.1,False,False,False,678.1,1.2678999960422517,1.276699995994568,Fog Seal Coat,197,2.5,12367
4,0504,2001,34,233.6,False,False,False,680.6,1.3021999835968017,1.362000012397766,Crack Sealing,187,0.0,15561
4,0505,1990,23,127.0,False,False,False,452.1,2.56190003156662,1.272599995136261,Mill Off AC and Overlay with AC ,154,40.6,8047
4,0505,1997,30,167.6,False,False,False,492.7000000000001,1.324449986219406,1.376700019836426,Fog Seal Coat,197,2.5,12367
4,0505,2000,33,170.1,False,False,False,495.2000000000001,1.4733999848365782,1.653100001811981,Fog Seal Coat,84,2.5,14884
4,0505,2001,34,172.6,False,False,False,497.7000000000001,1.653100001811981,1.5766000151634216,Crack Sealing,187,0.0,15561
4,0506,1990,23,124.5,False,False,False,449.6,1.7325999855995178,1.0200999915599822,"Asphalt Concrete Overlay, Mill Off AC and Overlay with AC ",154,83.8,8047
4,0506,1997,30,208.3,False,False,False,533.4,1.0791500061750412,1.0667000234127044,Fog Seal Coat,197,2.5,12367
4,0506,2000,33,210.8,False,False,False,535.9,1.117199981212616,1.111500012874603,Fog Seal Coat,84,2.5,14884
4,0506,2001,34,213.3,False,False,False,538.4,1.111500012874603,1.1435999751091002,Crack Sealing,187,0.0,15561
4,0507,1990,23,127.0,False,False,False,652.8,1.8332000017166137,1.2958000004291534,"Asphalt Concrete Overlay, Mill Off AC and Overlay with AC ",154,106.7,8047
4,0507,1997,30,233.7,False,False,False,759.5,1.4158999919891355,1.388099992275238,Fog Seal Coat,197,2.5,12367
4,0508,1990,23,137.20000000000002,False,False,False,518.2,1.5521000027656555,0.9389999866485595,"Hot-Mix Recycled Asphalt Concrete Overlay, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",154,96.5,8047
4,0508,1997,30,233.7,False,False,False,614.7,0.9528499990701677,0.9610000193119048,Fog Seal Coat,197,2.5,12367
4,0508,2001,34,236.2,False,False,False,617.2,1.036599999666214,1.0680000007152557,Crack Sealing,187,0.0,15561
4,0509,1990,23,137.20000000000002,False,False,False,513.1,2.380599975585937,1.02739999294281,"Hot-Mix Recycled Asphalt Concrete Overlay, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",154,27.8,8047
