STATE_CODE,SHRP_ID,CONSTRUCTION_NO,YEAR_VISITED,VISIT_DATE,MRI,IRI_previous,MERRA_ID,PRECIPITATION,TEMP_MEAN_AVG,FREEZE_INDEX,FREEZE_THAW,REL_HUM_AVG_AVG,ANNUAL_ESAL_TREND,AADTT_ALL_TRUCKS_TREND,AGE,H_AC,Eng_Fab,Treated_Base,Treated_Subbase,H_TOT
1,0101,1,1996,1996-06-02,0.6812250018119812,0.6573000073432922,135513,1201.48,17.200000762939453,27.0,54.0,76,282051,798,3,7.399999856948851,False,False,False,15.299999952316284
1,0101,1,1997,1997-08-24,0.6946000009775162,0.6812250018119812,135513,1475.31,17.399999618530273,5.0,31.0,78,290591,822,4,7.399999856948851,False,False,False,15.299999952316284
1,0101,1,1998,1998-06-23,0.7382250025868415,0.6946000009775162,135513,1396.67,18.799999237060547,0.0,23.0,76,299676,847,5,7.399999856948851,False,False,False,15.299999952316284
1,0101,1,1999,1999-09-28,0.713699996471405,0.7382250025868415,135513,1145.22,18.5,6.0,35.0,71,307987,872,6,7.399999856948851,False,False,False,15.299999952316284
1,0101,1,2001,2001-03-14,0.7429999947547913,0.713699996471405,135513,1167.22,17.899999618530273,3.0,33.0,74,326828,925,8,7.399999856948851,False,False,False,15.299999952316284
1,0101,1,2002,2002-03-10,0.7057999968528748,0.7429999947547913,135513,1117.79,18.399999618530277,3.0,46.0,74,336680,953,9,7.399999856948851,False,False,False,15.299999952316284
1,0101,1,2003,2003-01-29,0.73160001039505,0.7057999968528748,135513,1593.82,17.5,6.0,50.0,79,346765,982,10,7.399999856948851,False,False,False,15.299999952316284
1,0101,1,2004,2004-04-27,0.7754999935626984,0.73160001039505,135513,1378.56,18.100000381469727,2.0,39.0,75,357930,1011,11,7.399999856948851,False,False,False,15.299999952316284
1,0101,1,2005,2005-05-04,0.785700011253357,0.7754999935626984,135513,1847.56,17.799999237060547,2.0,38.0,77,368015,1042,12,7.399999856948851,False,False,False,15.299999952316284
1,0102,1,1995,1995-10-30,0.8974999964237214,0.9469000041484832,135513,1258.24,17.899999618530273,7.0,54.0,75,339000,775,2,4.199999928474426,False,False,False,16.199999928474426
1,0102,1,1996,1996-06-02,0.9103750005364418,0.8974999964237214,135513,1201.48,17.200000762939453,27.0,54.0,76,350000,798,3,4.199999928474426,False,False,False,16.199999928474426
1,0102,1,1997,1997-08-24,0.920349994301796,0.9103750005364418,135513,1475.31,17.399999618530273,5.0,31.0,78,360000,822,4,4.199999928474426,False,False,False,16.199999928474426
1,0102,1,1998,1998-06-23,1.068174993991852,0.920349994301796,135513,1396.67,18.799999237060547,0.0,23.0,76,371000,847,5,4.199999928474426,False,False,False,16.199999928474426
1,0102,1,1999,1999-09-28,1.1853999972343443,1.068174993991852,135513,1145.22,18.5,6.0,35.0,71,382000,872,6,4.199999928474426,False,False,False,16.199999928474426
1,0102,1,2001,2001-03-14,1.3729000210762023,1.1853999972343443,135513,1167.22,17.899999618530273,3.0,33.0,74,405000,925,8,4.199999928474426,False,False,False,16.199999928474426
1,0102,1,2002,2002-03-10,1.7075999855995176,1.3729000210762023,135513,1117.79,18.399999618530277,3.0,46.0,74,418000,953,9,4.199999928474426,False,False,False,16.199999928474426
1,0102,1,2003,2003-01-29,2.183399999141693,1.7075999855995176,135513,1593.82,17.5,6.0,50.0,79,430000,982,10,4.199999928474426,False,False,False,16.199999928474426
1,0102,2,2004,2004-04-27,2.9682000160217283,2.183399999141693,135513,1378.56,18.100000381469727,2.0,39.0,75,443000,1011,11,4.199999928474426,False,False,False,16.199999928474426
1,0102,2,2005,2005-05-04,3.0984999895095826,2.9682000160217283,135513,1847.56,17.799999237060547,2.0,38.0,77,205200,1042,12,4.199999928474426,False,False,False,16.199999928474426
1,0103,1,1997,1997-07-03,0.7594000041484832,0.7936000108718873,135513,1475.31,17.399999618530273,5.0,31.0,78,297971,822,4,4.199999928474426,False,True,False,11.600000023841858
1,0103,1,1998,1998-01-27,0.7979999899864196,0.7594000041484832,135513,1396.67,18.799999237060547,0.0,23.0,76,307294,847,5,4.199999928474426,False,True,False,11.600000023841858
1,0103,1,1999,1999-09-28,0.831199997663498,0.7979999899864196,135513,1145.22,18.5,6.0,35.0,71,315816,872,6,4.199999928474426,False,True,False,11.600000023841858
1,0103,1,2001,2001-03-14,0.826200008392334,0.831199997663498,135513,1167.22,17.899999618530273,3.0,33.0,74,335136,925,8,4.199999928474426,False,True,False,11.600000023841858
1,0103,1,2002,2002-03-10,0.7747000098228455,0.826200008392334,135513,1117.79,18.399999618530277,3.0,46.0,74,345239,953,9,4.199999928474426,False,True,False,11.600000023841858
1,0103,1,2003,2003-01-29,0.8045000016689301,0.7747000098228455,135513,1593.82,17.5,6.0,50.0,79,355579,982,10,4.199999928474426,False,True,False,11.600000023841858
1,0103,1,2004,2004-04-27,0.8012999951839448,0.8045000016689301,135513,1378.56,18.100000381469727,2.0,39.0,75,367036,1011,11,4.199999928474426,False,True,False,11.600000023841858
1,0103,1,2005,2005-05-04,0.834500002861023,0.8012999951839448,135513,1847.56,17.799999237060547,2.0,38.0,77,377377,1042,12,4.199999928474426,False,True,False,11.600000023841858
1,0104,1,1997,1997-07-03,0.6427999973297118,0.5942000150680542,135513,1475.31,17.399999618530273,5.0,31.0,78,277623,822,4,6.300000071525574,False,True,False,18.49999988079071
1,0104,1,1998,1998-03-11,0.6550499945878983,0.6427999973297118,135513,1396.67,18.799999237060547,0.0,23.0,76,286270,847,5,6.300000071525574,False,True,False,18.49999988079071
1,0104,1,1999,1999-09-28,0.6314000010490417,0.6550499945878983,135513,1145.22,18.5,6.0,35.0,71,294208,872,6,6.300000071525574,False,True,False,18.49999988079071
1,0104,1,2001,2001-03-14,0.6477000057697296,0.6314000010490417,135513,1167.22,17.899999618530273,3.0,33.0,74,312217,925,8,6.300000071525574,False,True,False,18.49999988079071
1,0104,1,2002,2002-03-10,0.6155999958515168,0.6477000057697296,135513,1117.79,18.399999618530277,3.0,46.0,74,321623,953,9,6.300000071525574,False,True,False,18.49999988079071
1,0104,1,2003,2003-01-29,0.6597000002861022,0.6155999958515168,135513,1593.82,17.5,6.0,50.0,79,331245,982,10,6.300000071525574,False,True,False,18.49999988079071
1,0104,1,2004,2004-04-27,0.6559000015258789,0.6597000002861022,135513,1378.56,18.100000381469727,2.0,39.0,75,341884,1011,11,6.300000071525574,False,True,False,18.49999988079071
1,0104,1,2005,2005-05-04,0.6840999960899352,0.6559000015258789,135513,1847.56,17.799999237060547,2.0,38.0,77,351532,1042,12,6.300000071525574,False,True,False,18.49999988079071
1,0105,1,1997,1997-07-03,0.6428000092506408,0.6142999947071075,135513,1475.31,17.399999618530273,5.0,31.0,78,360000,822,4,4.099999904632568,False,True,False,12.199999809265137
1,0105,1,1998,1998-01-27,0.6342000007629395,0.6428000092506408,135513,1396.67,18.799999237060547,0.0,23.0,76,371000,847,5,4.099999904632568,False,True,False,12.199999809265137
1,0105,1,1999,1999-09-28,0.647900003194809,0.6342000007629395,135513,1145.22,18.5,6.0,35.0,71,382000,872,6,4.099999904632568,False,True,False,12.199999809265137
1,0105,1,2001,2001-03-14,0.6370000064373016,0.647900003194809,135513,1167.22,17.899999618530273,3.0,33.0,74,405000,925,8,4.099999904632568,False,True,False,12.199999809265137
1,0105,1,2002,2002-03-10,0.6196000039577484,0.6370000064373016,135513,1117.79,18.399999618530277,3.0,46.0,74,418000,953,9,4.099999904632568,False,True,False,12.199999809265137
1,0105,1,2003,2003-01-29,0.6546999990940094,0.6196000039577484,135513,1593.82,17.5,6.0,50.0,79,430000,982,10,4.099999904632568,False,True,False,12.199999809265137
1,0105,1,2004,2004-04-27,0.6837000131607056,0.6546999990940094,135513,1378.56,18.100000381469727,2.0,39.0,75,443000,1011,11,4.099999904632568,False,True,False,12.199999809265137
1,0105,1,2005,2005-05-04,0.6940000057220459,0.6837000131607056,135513,1847.56,17.799999237060547,2.0,38.0,77,205200,1042,12,4.099999904632568,False,True,False,12.199999809265137
1,0106,1,1996,1996-01-10,0.5817999958992004,0.7470000028610229,135513,1201.48,17.200000762939453,27.0,54.0,76,268801,798,3,6.899999976158142,False,True,False,23.299999594688416
1,0106,1,1997,1997-07-03,0.6130999982357026,0.5817999958992004,135513,1475.31,17.399999618530273,5.0,31.0,78,277031,822,4,6.899999976158142,False,True,False,23.299999594688416
1,0106,1,1998,1998-01-27,0.6544999957084656,0.6130999982357026,135513,1396.67,18.799999237060547,0.0,23.0,76,285660,847,5,6.899999976158142,False,True,False,23.299999594688416
1,0106,1,1999,1999-09-28,0.6949999988079071,0.6544999957084656,135513,1145.22,18.5,6.0,35.0,71,293580,872,6,6.899999976158142,False,True,False,23.299999594688416
1,0106,1,2001,2001-03-14,0.6889999985694886,0.6949999988079071,135513,1167.22,17.899999618530273,3.0,33.0,74,311553,925,8,6.899999976158142,False,True,False,23.299999594688416
1,0106,1,2002,2002-03-10,0.6597999930381775,0.6889999985694886,135513,1117.79,18.399999618530277,3.0,46.0,74,320937,953,9,6.899999976158142,False,True,False,23.299999594688416
1,0106,1,2003,2003-01-29,0.7324999928474427,0.6597999930381775,135513,1593.82,17.5,6.0,50.0,79,330540,982,10,6.899999976158142,False,True,False,23.299999594688416
1,0106,1,2004,2004-04-27,0.7429999947547912,0.7324999928474427,135513,1378.56,18.100000381469727,2.0,39.0,75,341156,1011,11,6.899999976158142,False,True,False,23.299999594688416
1,0106,1,2005,2005-05-04,0.7639999985694885,0.7429999947547912,135513,1847.56,17.799999237060547,2.0,38.0,77,350780,1042,12,6.899999976158142,False,True,False,23.299999594688416
1,0107,1,1996,1996-01-10,0.6560999929904938,0.811900007724762,135513,1201.48,17.200000762939453,27.0,54.0,76,350000,798,3,4.600000023841858,False,True,False,12.600000262260435
1,0107,1,1997,1997-07-03,0.627400004863739,0.6560999929904938,135513,1475.31,17.399999618530273,5.0,31.0,78,360000,822,4,4.600000023841858,False,True,False,12.600000262260435
1,0107,1,1998,1998-01-27,0.6661000072956085,0.627400004863739,135513,1396.67,18.799999237060547,0.0,23.0,76,371000,847,5,4.600000023841858,False,True,False,12.600000262260435
1,0107,1,1999,1999-09-28,0.7568000078201294,0.6661000072956085,135513,1145.22,18.5,6.0,35.0,71,382000,872,6,4.600000023841858,False,True,False,12.600000262260435
1,0107,2,2001,2001-03-14,0.9627000153064728,0.7568000078201294,135513,1167.22,17.899999618530273,3.0,33.0,74,364500,925,8,4.600000023841858,False,True,False,12.600000262260435
1,0108,1,1996,1996-01-10,0.7599999964237213,0.875,135513,1201.48,17.200000762939453,27.0,54.0,76,271649,798,3,7.199999928474426,False,True,False,19.399999737739563
1,0108,1,1997,1997-07-03,0.7427999973297119,0.7599999964237213,135513,1475.31,17.399999618530273,5.0,31.0,78,279937,822,4,7.199999928474426,False,True,False,19.399999737739563
1,0108,1,1998,1998-03-11,0.7653500020503998,0.7427999973297119,135513,1396.67,18.799999237060547,0.0,23.0,76,288664,847,5,7.199999928474426,False,True,False,19.399999737739563
1,0108,1,1999,1999-09-28,0.7313000082969665,0.7653500020503998,135513,1145.22,18.5,6.0,35.0,71,296668,872,6,7.199999928474426,False,True,False,19.399999737739563
1,0108,1,2001,2001-03-14,0.7432000100612641,0.7313000082969665,135513,1167.22,17.899999618530273,3.0,33.0,74,314827,925,8,7.199999928474426,False,True,False,19.399999737739563
1,0108,1,2002,2002-03-10,0.7502000033855438,0.7432000100612641,135513,1117.79,18.399999618530277,3.0,46.0,74,324313,953,9,7.199999928474426,False,True,False,19.399999737739563
1,0108,1,2003,2003-01-29,0.731199997663498,0.7502000033855438,135513,1593.82,17.5,6.0,50.0,79,334019,982,10,7.199999928474426,False,True,False,19.399999737739563
1,0108,1,2004,2004-04-27,0.7627000033855438,0.731199997663498,135513,1378.56,18.100000381469727,2.0,39.0,75,344754,1011,11,7.199999928474426,False,True,False,19.399999737739563
1,0108,1,2005,2005-05-04,0.7932000041007996,0.7627000033855438,135513,1847.56,17.799999237060547,2.0,38.0,77,354477,1042,12,7.199999928474426,False,True,False,19.399999737739563
1,0109,1,1997,1997-07-03,0.7091000080108643,0.7311999917030334,135513,1475.31,17.399999618530273,5.0,31.0,78,277641,822,4,7.100000143051148,False,True,False,23.40000033378601
1,0109,1,1998,1998-01-27,0.6793000102043152,0.7091000080108643,135513,1396.67,18.799999237060547,0.0,23.0,76,286291,847,5,7.100000143051148,False,True,False,23.40000033378601
1,0109,1,1999,1999-09-28,0.7440000057220459,0.6793000102043152,135513,1145.22,18.5,6.0,35.0,71,294230,872,6,7.100000143051148,False,True,False,23.40000033378601
1,0109,1,2001,2001-03-14,0.7499999940395354,0.7440000057220459,135513,1167.22,17.899999618530273,3.0,33.0,74,312239,925,8,7.100000143051148,False,True,False,23.40000033378601
1,0109,1,2002,2002-03-10,0.7542000055313111,0.7499999940395354,135513,1117.79,18.399999618530277,3.0,46.0,74,321645,953,9,7.100000143051148,False,True,False,23.40000033378601
1,0109,1,2003,2003-01-29,0.7209000051021577,0.7542000055313111,135513,1593.82,17.5,6.0,50.0,79,331267,982,10,7.100000143051148,False,True,False,23.40000033378601
