STATE_CODE,SHRP_ID,CONSTRUCTION_NO,YEAR_VISITED,VISIT_DATE,MRI,PRECIPITATION,TEMP_MEAN_AVG,FREEZE_INDEX,FREEZE_THAW,REL_HUM_AVG_AVG,AADTT,AGE,H_AC,Eng_Fab,Treated_Base,Treated_Subbase,H_TOT
1,0101,1,1995,1995-10-30,-1.237169366260048,0.761558828750048,0.8477668873493547,-0.8709583425980492,-0.45033015652495534,-0.4372449317683452,-0.8195756995468221,-1.7502626859417618,0.25123330009750017,0,0,0,-0.7467027839235891
1,0101,1,1996,1996-06-02,-1.1772653078635225,0.6346039462272423,0.7343348422110729,-0.6704278106165926,-0.45033015652495534,-0.5595727790858643,-0.5612601338044634,-1.5589987624875516,0.25123330009750017,0,0,0,-0.7467027839235891
1,0101,1,1997,1997-08-24,-1.144234621778943,1.2470784966363313,0.7667438655027392,-0.9031705371617477,-0.9850387306435889,-0.832889723567106,-0.35789047257137474,-1.386082958273231,0.25123330009750017,0,0,0,-0.7467027839235891
1,0101,1,1998,1998-06-23,-1.0386527100625627,1.0711846988633675,0.9936082648576027,-1.0789859800847772,-1.1710243216413745,-0.5595727790858643,-0.18921825162726272,-1.2270704654720301,0.25123330009750017,0,0,0,-0.7467027839235891
1,0101,1,1999,1999-09-28,-1.0976120784883672,0.5087674118591476,0.9449945753809533,-0.8863898119913667,-0.8920459351446961,-0.018115683667908982,-0.0445996899651551,-1.079065245895122,0.25123330009750017,0,0,0,-0.7467027839235891
1,0101,1,2001,2001-03-14,-1.0272878783143822,0.5579747306664367,0.8477668873493547,-0.9427999235953824,-0.9385423328941426,-0.32281487269610615,0.19628874387207632,-0.8085772113534888,0.25123330009750017,0,0,0,-0.7467027839235891
1,0101,1,2002,2002-03-10,-1.1168191588518852,0.4474148320916957,0.9287899091959714,-0.9427999235953824,-0.6363157475227409,-0.32281487269610615,0.2994686132541132,-0.6835240889176281,0.25123330009750017,0,0,0,-0.7467027839235891
1,0101,1,2003,2003-01-29,-1.0544817274409908,1.51214937626596,0.7829485316877223,-0.8863898119913667,-0.5433229520238482,-0.9871652916058643,0.3941693526095457,-0.5640373358849456,0.25123330009750017,0,0,0,-0.7467027839235891
1,0101,1,2004,2004-04-27,-0.950886513026113,1.0306781286997306,0.8801762197193209,-0.9677905305911562,-0.7990531396458034,-0.4372449317683452,0.4818038054985331,-0.44943383357262945,0.25123330009750017,0,0,0,-0.7467027839235891
1,0101,1,2005,2005-05-04,-0.9272396100486601,2.0796886978187565,0.8315622211643716,-0.9677905305911562,-0.8223013385205266,-0.6909699583487385,0.5636023596604665,-0.3391597119787336,0.25123330009750017,0,0,0,-0.7467027839235891
1,0102,1,1994,1994-08-25,-0.572109400655718,2.074700865048745,0.7343348422110729,-0.8303453962283959,-0.9152941340194193,-1.3429645744381067,-1.1783090388918767,-1.9673569923087033,-0.8449826569184953,0,0,0,-0.6169771994144239
1,0102,1,1995,1995-10-30,-0.6774846738054332,0.761558828750048,0.8477668873493547,-0.8709583425980492,-0.45033015652495534,-0.4372449317683452,-0.8195756995468221,-1.7502626859417618,-0.8449826569184953,0,0,0,-0.6169771994144239
1,0102,1,1996,1996-06-02,-0.6497472431375474,0.6346039462272423,0.7343348422110729,-0.6704278106165926,-0.45033015652495534,-0.5595727790858643,-0.5612601338044634,-1.5589987624875516,-0.8449826569184953,0,0,0,-0.6169771994144239
1,0102,1,1997,1997-08-24,-0.6283920753398471,1.2470784966363313,0.7667438655027392,-0.9031705371617477,-0.9850387306435889,-0.832889723567106,-0.35789047257137474,-1.386082958273231,-0.8449826569184953,0,0,0,-0.6169771994144239
1,0102,1,1998,1998-06-23,-0.324525250549987,1.0711846988633675,0.9936082648576027,-1.0789859800847772,-1.1710243216413745,-0.5595727790858643,-0.18921825162726272,-1.2270704654720301,-0.8449826569184953,0,0,0,-0.6169771994144239
1,0102,1,1999,1999-09-28,-0.09825285012811213,0.5087674118591476,0.9449945753809533,-0.8863898119913667,-0.8920459351446961,-0.018115683667908982,-0.0445996899651551,-1.079065245895122,-0.8449826569184953,0,0,0,-0.6169771994144239
1,0102,1,2001,2001-03-14,0.24154300968404896,0.5579747306664367,0.8477668873493547,-0.9427999235953824,-0.9385423328941426,-0.32281487269610615,0.19628874387207632,-0.8085772113534888,-0.8449826569184953,0,0,0,-0.6169771994144239
1,0102,1,2002,2002-03-10,0.7947518025514326,0.4474148320916957,0.9287899091959714,-0.9427999235953824,-0.6363157475227409,-0.32281487269610615,0.2994686132541132,-0.6835240889176281,-0.8449826569184953,0,0,0,-0.6169771994144239
1,0102,1,2003,2003-01-29,1.494771840391372,1.51214937626596,0.7829485316877223,-0.8863898119913667,-0.5433229520238482,-0.9871652916058643,0.3941693526095457,-0.5640373358849456,-0.8449826569184953,0,0,0,-0.6169771994144239
1,0102,2,2004,2004-04-27,2.499293301936074,1.0306781286997306,0.8801762197193209,-0.9677905305911562,-0.7990531396458034,-0.4372449317683452,0.4818038054985331,-0.44943383357262945,-0.8449826569184953,0,0,0,-0.6169771994144239
1,0102,2,2005,2005-05-04,2.652540807227347,2.0796886978187565,0.8315622211643716,-0.9677905305911562,-0.8223013385205266,-0.6909699583487385,0.5636023596604665,-0.3391597119787336,-0.8449826569184953,0,0,0,-0.6169771994144239
1,0103,1,1996,1996-01-10,-0.9090301777176174,0.6346039462272423,0.7343348422110729,-0.6704278106165926,-0.45033015652495534,-0.5595727790858643,-0.5612601338044634,-1.5589987624875516,-0.8449826569184953,0,1,0,-1.376477997221174
