STATE_CODE,SHRP_ID,CONSTRUCTION_NO_AFTER,CONSTRUCTION_NO_BEFORE,MRI_BEFORE,MRI_BEFORE_DATE,MRI_AFTER,MRI_AFTER_DATE,CN_ASSIGN_DATE,MAINTENANCE,DAYS_SINCE_MAINTENANCE,YEAR,H_AC,Eng_Fab,Treated_Base,Treated_Subbase,H_TOT,Added_Thickness,CONSTRUCTION_NO,AADTT,AGE
1,0107,2,1,0.7568000078201294,1999-09-28,0.9627000153064728,2001-03-14,2001-02-07,Manual Premix Spot Patch (hand spreading and compacting with roller),35,1999,116.9,False,True,False,320.1,0.0,1,5598,8
1,0502,2,1,1.0360000014305115,1991-07-08,0.7744999974966049,1992-04-01,1991-12-19,Hot-Mix Recycled Asphalt Concrete Overlay,104,1991,88.89999999999999,False,False,False,505.5,48.3,1,5434,15
1,0503,2,1,0.990499985218048,1991-07-09,0.8260000050067902,1992-04-02,1991-12-16,"AC Shoulder Restoration, Hot-Mix Recycled Asphalt Concrete Overlay",108,1991,83.8,False,False,False,500.4,124.4,1,5434,15
1,0504,2,1,1.0307000041007996,1991-07-08,0.8482000052928924,1992-04-01,1991-12-10,"AC Shoulder Restoration, Asphalt Concrete Overlay",113,1991,88.9,False,False,False,500.4,116.9,1,5434,15
1,0505,2,1,1.1371999979019165,1991-07-08,0.8245000004768371,1992-04-01,1991-12-19,Asphalt Concrete Overlay,104,1991,83.9,False,False,False,500.5,50.8,1,5434,15
1,0506,2,1,1.0492500141263008,1991-07-08,0.6969000041484833,1992-04-01,1991-12-09,Mill Off AC and Overlay with AC ,114,1991,106.7,False,False,False,513.1,38.1,1,5434,15
1,0506,3,2,0.8162000060081482,2009-03-30,0.6042999982833863,2013-10-30,2013-07-15,"AC Shoulder Restoration, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",107,2009,144.8,False,False,False,551.1999999999999,0.0,2,14409,33
1,0507,2,1,1.2444000124931336,1991-07-08,0.7600000143051148,1992-04-01,1991-12-09,"AC Shoulder Restoration, Mill Off AC and Overlay with AC ",114,1991,76.2,False,False,False,482.6,121.9,1,5434,15
1,0508,2,1,1.0621000111103058,1991-07-09,0.9348999798297882,1992-04-02,1991-12-09,"AC Shoulder Restoration, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",115,1991,86.3,False,False,False,515.5999999999999,117.0,1,5434,15
1,0509,2,1,1.710200011730194,1991-07-09,0.8051999926567077,1992-04-02,1991-12-09,"AC Shoulder Restoration, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",115,1991,91.4,False,False,False,523.1999999999999,58.5,1,5434,15
